study_ID,Study,island_code,island_name,number_of_islands,n_island_cat,island_area_ha,island_area_source,elevation_m_asl,elevation_source,elevation_category,Taxa,island_type,DEM_elevation_max,DEM_elevation_min,island_lat,island_lon,island_type2,fixed_proportional,dataset_coord_lat,dataset_coord_long,sampling_effort,sampling_effort_unit,sampling_method,sampling_method_dimensions,sampling_notes,sampling_time_frame,no_hours_sampled
Evans_2016,Evans_2016_data,Fregate,Frégate,30,16 to 30,16.12,Google Earth,NA,NA,NA,Birds,True Island,14,3,-16.59887414,59.51362299,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,observation survey made from boat,NA,NA,30-Oct-10,NA
Evans_2016,Evans_2016_data,Grand Capitaine,Grand Capitaine,30,16 to 30,NA,NA,NA,NA,NA,Birds,True Island,10,1,-16.81593621,59.51211679,volcanic,not_standardized,-16.6464936,59.5750338,9,insufficient details on sampling,transect,9,"All adult birds, eggs, nestlings, deformed and dead birds were counted within 5 m and on both sides of each transect. Using the coordinates of the start and end of each transect, obtained using GPS (Garmap 76S or Garmin Gecko), we determined the length of each transect in MapSource 6.14 and hence the area covered by transects, as well as the associated densities of birds. We scanned the 1:60 000 map of SBR (Government of Mauritius 1986) and imported it into OziExplorer 3.95.4p using four-point calibration. We then traced an outline and calculated the surface area of each islet. We plotted transects on the map to demarcate and estimate the extents of bird colonies on each island.",26-Oct-10,NA
Evans_2016,Evans_2016_data,Grand Dagorne,Grand Dagorne,30,16 to 30,NA,NA,NA,NA,NA,Birds,True Island,14,1,-16.78632474,59.55817408,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,observation survey made from boat,NA,NA,25-Oct-10,NA
Evans_2016,Evans_2016_data,Grand Dagorne South,Grand Dagorne South,30,16 to 30,NA,NA,NA,NA,NA,Birds,True Island,14,1,-16.78783773,59.55598674,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,observation survey made from boat,NA,NA,25-Oct-10,NA
Evans_2016,Evans_2016_data,ile Cocos,Coco,30,16 to 30,50,Google Earth,NA,NA,NA,Birds,True Island,27,1,-16.75094143,59.57238992,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,entire island survey,NA,NA,25-Oct-10,NA
Evans_2016,Evans_2016_data,ile du Sud,Île du Sud,30,16 to 30,13.85,Google Earth,NA,NA,NA,Birds,True Island,12,1,-16.81551692,59.50205731,volcanic,not_standardized,-16.6464936,59.5750338,9,insufficient details on sampling,transect,9,"All adult birds, eggs, nestlings, deformed and dead birds were counted within 5 m and on both sides of each transect. Using the coordinates of the start and end of each transect, obtained using GPS (Garmap 76S or Garmin Gecko), we determined the length of each transect in MapSource 6.14 and hence the area covered by transects, as well as the associated densities of birds. We scanned the 1:60 000 map of SBR (Government of Mauritius 1986) and imported it into OziExplorer 3.95.4p using four-point calibration. We then traced an outline and calculated the surface area of each islet. We plotted transects on the map to demarcate and estimate the extents of bird colonies on each island.",27-Oct-10,NA
Evans_2016,Evans_2016_data,ile Longue,Île Longue,30,16 to 30,NA,NA,NA,NA,NA,Birds,True Island,21,1,-16.79200498,59.5532952,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,entire island survey,NA,NA,25-Oct-10,NA
Evans_2016,Evans_2016_data,ile Longue North,Île Longue North,30,16 to 30,17.9,Google Earth,NA,NA,NA,Birds,True Island,21,1,-16.78988301,59.55444816,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,observation survey made from boat,NA,NA,25-Oct-10,NA
Evans_2016,Evans_2016_data,ile Paul,Île Paul,30,16 to 30,NA,NA,NA,NA,NA,Birds,True Island,19,1,-16.57273655,59.70249516,volcanic,not_standardized,-16.6464936,59.5750338,11,insufficient details on sampling,transect,11,"All adult birds, eggs, nestlings, deformed and dead birds were counted within 5 m and on both sides of each transect. Using the coordinates of the start and end of each transect, obtained using GPS (Garmap 76S or Garmin Gecko), we determined the length of each transect in MapSource 6.14 and hence the area covered by transects, as well as the associated densities of birds. We scanned the 1:60 000 map of SBR (Government of Mauritius 1986) and imported it into OziExplorer 3.95.4p using four-point calibration. We then traced an outline and calculated the surface area of each islet. We plotted transects on the map to demarcate and estimate the extents of bird colonies on each island.",28-Oct-10,NA
Evans_2016,Evans_2016_data,ile Raphael,Île Raphael,30,16 to 30,3.45,Google Earth,NA,NA,NA,Birds,True Island,29,1,-16.44220483,59.60818927,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,entire island survey,NA,NA,29-Oct-10,NA
Evans_2016,Evans_2016_data,ile Tortue,Île Tortue,30,16 to 30,13,Google Earth,NA,NA,NA,Birds,True Island,5,0,-16.48345955,59.68714081,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,entire island survey,NA,NA,29-Oct-10,NA
Evans_2016,Evans_2016_data,La Derive,La Dérive,30,16 to 30,NA,NA,NA,NA,NA,Birds,True Island,17,1,-16.81855329,59.4956749,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,entire island survey,NA,NA,27-Oct-10,NA
Evans_2016,Evans_2016_data,Loup Garou,Loup Garou,30,16 to 30,NA,NA,NA,NA,NA,Birds,True Island,13,1,-16.8067491,59.53453062,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,entire island survey,NA,NA,26-Oct-10,NA
Evans_2016,Evans_2016_data,Perle,Perle,30,16 to 30,18.6,Google Earth,NA,NA,NA,Birds,True Island,8,2,-16.54582935,59.50593808,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,observation survey made from boat,NA,NA,30-Oct-10,NA
Evans_2016,Evans_2016_data,Petit Capitaine,Petit Capitaine,30,16 to 30,NA,NA,NA,NA,NA,Birds,True Island,14,1,-16.81338793,59.52062181,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,entire island survey,NA,NA,26-Oct-10,NA
Evans_2016,Evans_2016_data,Petit Dagorne,Petit Dagorne,30,16 to 30,NA,NA,NA,NA,NA,Birds,True Island,12,1,-16.77968057,59.56330846,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,observation survey made from boat,NA,NA,25-Oct-10,NA
Evans_2016,Evans_2016_data,Petit Raphael North,Petit Raphael North,30,16 to 30,NA,NA,NA,NA,NA,Birds,True Island,16,1,-16.44648173,59.60953869,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,entire island survey,NA,NA,29-Oct-10,NA
Evans_2016,Evans_2016_data,Petit Raphael South,Petit Raphael South,30,16 to 30,NA,NA,NA,NA,NA,Birds,True Island,5,1,-16.44909153,59.6125253,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,entire island survey,NA,NA,29-Oct-10,NA
Evans_2016,Evans_2016_data,Poulailler,Poulailler,30,16 to 30,NA,NA,NA,NA,NA,Birds,True Island,14,1,-16.43359,59.60507,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,entire island survey,NA,NA,26-Oct-10,NA
Evans_2016,Evans_2016_data,Puits a Eau,Puits à Eau,30,16 to 30,NA,NA,NA,NA,NA,Birds,True Island,11,1,-16.42241096,59.6107665,volcanic,not_standardized,-16.6464936,59.5750338,2,insufficient details on sampling,transect,2,"All adult birds, eggs, nestlings, deformed and dead birds were counted within 5 m and on both sides of each transect. Using the coordinates of the start and end of each transect, obtained using GPS (Garmap 76S or Garmin Gecko), we determined the length of each transect in MapSource 6.14 and hence the area covered by transects, as well as the associated densities of birds. We scanned the 1:60 000 map of SBR (Government of Mauritius 1986) and imported it into OziExplorer 3.95.4p using four-point calibration. We then traced an outline and calculated the surface area of each islet. We plotted transects on the map to demarcate and estimate the extents of bird colonies on each island.",25-Oct-10,NA
Evans_2016,Evans_2016_data,Roseate Island,Roseate Island,30,16 to 30,NA,NA,NA,NA,NA,Birds,True Island,13,1,-16.8196155,59.49099649,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,entire island survey,NA,NA,26-Oct-10,NA
Evans_2016,Evans_2016_data,Sirene,Sirène,30,16 to 30,8.18,Google Earth,NA,NA,NA,Birds,True Island,11,1,-16.46862277,59.58019966,volcanic,not_standardized,-16.6464936,59.5750338,6,insufficient details on sampling,transect,6,"All adult birds, eggs, nestlings, deformed and dead birds were counted within 5 m and on both sides of each transect. Using the coordinates of the start and end of each transect, obtained using GPS (Garmap 76S or Garmin Gecko), we determined the length of each transect in MapSource 6.14 and hence the area covered by transects, as well as the associated densities of birds. We scanned the 1:60 000 map of SBR (Government of Mauritius 1986) and imported it into OziExplorer 3.95.4p using four-point calibration. We then traced an outline and calculated the surface area of each islet. We plotted transects on the map to demarcate and estimate the extents of bird colonies on each island.",29-Oct-10,NA
Evans_2016,Evans_2016_data,Verronge,Verronge,30,16 to 30,0.47,Google Earth,NA,NA,NA,Birds,True Island,16,1,-16.67859531,59.60644048,volcanic,not_standardized,-16.6464936,59.5750338,NA,insufficient details on sampling,observation survey made from boat,NA,NA,27-Oct-10,NA
Hatteland_2008_data,Hatteland_2008_data,island1,NA,14,10 to 15,7.13,Hatteland_2008,22,Google Earth,maximum elevation,Beetles,True Island,112,1,60.48897804,4.862755736,continental,not_standardized,60.5729857,4.79309626,10,trap per island,pitfall trap,diameter of 56 mm and a depth of 116 mm,"5 traps in a row, 4m apart. Number of traps varied with island size.",30-May-1983 to 14-November-1983,NA
Hatteland_2008_data,Hatteland_2008_data,island10,NA,14,10 to 15,5.9,Hatteland_2008,13,Google Earth,maximum elevation,Beetles,True Island,112,1,60.60672285,4.766259596,continental,not_standardized,60.5729857,4.79309626,5,trap per island,pitfall trap,diameter of 56 mm and a depth of 116 mm,"5 traps in a row, 4m apart. Number of traps varied with island size.",30-May-1983 to 14-November-1983,NA
Hatteland_2008_data,Hatteland_2008_data,island11,NA,14,10 to 15,2.94,Hatteland_2008,7,Google Earth,maximum elevation,Beetles,True Island,112,1,60.62892225,4.765483469,continental,not_standardized,60.5729857,4.79309626,5,trap per island,pitfall trap,diameter of 56 mm and a depth of 116 mm,"5 traps in a row, 4m apart. Number of traps varied with island size.",30-May-1983 to 14-November-1983,NA
Hatteland_2008_data,Hatteland_2008_data,island12,NA,14,10 to 15,3.05,Hatteland_2008,19,Google Earth,maximum elevation,Beetles,True Island,112,1,60.63961407,4.727656527,continental,not_standardized,60.5729857,4.79309626,5,trap per island,pitfall trap,diameter of 56 mm and a depth of 116 mm,"5 traps in a row, 4m apart. Number of traps varied with island size.",30-May-1983 to 14-November-1983,NA
Hatteland_2008_data,Hatteland_2008_data,island13,NA,14,10 to 15,3.71,Hatteland_2008,28,Google Earth,maximum elevation,Beetles,True Island,112,1,60.64304817,4.735584538,continental,not_standardized,60.5729857,4.79309626,5,trap per island,pitfall trap,diameter of 56 mm and a depth of 116 mm,"5 traps in a row, 4m apart. Number of traps varied with island size.",30-May-1983 to 14-November-1983,NA
Hatteland_2008_data,Hatteland_2008_data,island14,NA,14,10 to 15,2.24,Hatteland_2008,29,Google Earth,maximum elevation,Beetles,True Island,112,1,60.64399949,4.738874015,continental,not_standardized,60.5729857,4.79309626,5,trap per island,pitfall trap,diameter of 56 mm and a depth of 116 mm,"5 traps in a row, 4m apart. Number of traps varied with island size.",30-May-1983 to 14-November-1983,NA
Hatteland_2008_data,Hatteland_2008_data,island2,NA,14,10 to 15,2.87,Hatteland_2008,13,Google Earth,maximum elevation,Beetles,True Island,112,1,60.49001007,4.832157445,continental,not_standardized,60.5729857,4.79309626,10,trap per island,pitfall trap,diameter of 56 mm and a depth of 116 mm,"5 traps in a row, 4m apart. Number of traps varied with island size.",30-May-1983 to 14-November-1983,NA
Hatteland_2008_data,Hatteland_2008_data,island3,NA,14,10 to 15,10.64,Hatteland_2008,1,Google Earth,maximum elevation,Beetles,True Island,112,1,60.50392593,4.829679685,continental,not_standardized,60.5729857,4.79309626,10,trap per island,pitfall trap,diameter of 56 mm and a depth of 116 mm,"5 traps in a row, 4m apart. Number of traps varied with island size.",30-May-1983 to 14-November-1983,NA
Hatteland_2008_data,Hatteland_2008_data,island4,NA,14,10 to 15,0.24,Hatteland_2008,1,Google Earth,maximum elevation,Beetles,True Island,112,1,60.50565821,4.842170971,continental,not_standardized,60.5729857,4.79309626,3,trap per island,pitfall trap,diameter of 56 mm and a depth of 116 mm,"5 traps in a row, 4m apart. Number of traps varied with island size.",30-May-1983 to 14-November-1983,NA
Hatteland_2008_data,Hatteland_2008_data,island5,NA,14,10 to 15,1.69,Hatteland_2008,7,Google Earth,maximum elevation,Beetles,True Island,112,1,60.54306822,4.813233904,continental,not_standardized,60.5729857,4.79309626,5,trap per island,pitfall trap,diameter of 56 mm and a depth of 116 mm,"5 traps in a row, 4m apart. Number of traps varied with island size.",30-May-1983 to 14-November-1983,NA
Hatteland_2008_data,Hatteland_2008_data,island6,NA,14,10 to 15,1.05,Hatteland_2008,11,Google Earth,maximum elevation,Beetles,True Island,112,1,60.54524135,4.816165434,continental,not_standardized,60.5729857,4.79309626,5,trap per island,pitfall trap,diameter of 56 mm and a depth of 116 mm,"5 traps in a row, 4m apart. Number of traps varied with island size.",30-May-1983 to 14-November-1983,NA
Hatteland_2008_data,Hatteland_2008_data,island7,NA,14,10 to 15,0.56,Hatteland_2008,7,Google Earth,maximum elevation,Beetles,True Island,112,1,60.57716459,4.818115071,continental,not_standardized,60.5729857,4.79309626,5,trap per island,pitfall trap,diameter of 56 mm and a depth of 116 mm,"5 traps in a row, 4m apart. Number of traps varied with island size.",30-May-1983 to 14-November-1983,NA
Hatteland_2008_data,Hatteland_2008_data,island8,NA,14,10 to 15,0.67,Hatteland_2008,6,Google Earth,maximum elevation,Beetles,True Island,112,1,60.60357946,4.791477941,continental,not_standardized,60.5729857,4.79309626,5,trap per island,pitfall trap,diameter of 56 mm and a depth of 116 mm,"5 traps in a row, 4m apart. Number of traps varied with island size.",30-May-1983 to 14-November-1983,NA
Hatteland_2008_data,Hatteland_2008_data,island9,NA,14,10 to 15,2,Hatteland_2008,14,Google Earth,maximum elevation,Beetles,True Island,112,1,60.60186715,4.763733309,continental,not_standardized,60.5729857,4.79309626,5,trap per island,pitfall trap,diameter of 56 mm and a depth of 116 mm,"5 traps in a row, 4m apart. Number of traps varied with island size.",30-May-1983 to 14-November-1983,NA
Jonsson_2011,Jonsson_2011_data,H12,NA,30,16 to 30,8,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,8,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,H24,NA,30,16 to 30,0.1,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,0.1,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,H27,NA,30,16 to 30,0.4,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,0.4,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,H28,NA,30,16 to 30,2,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,2,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,H32,NA,30,16 to 30,15,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,15,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,H37,NA,30,16 to 30,0.25,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,0.25,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,H43,NA,30,16 to 30,0.05,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,0.05,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,H44,NA,30,16 to 30,0.3,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,0.3,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,H45,NA,30,16 to 30,0.03,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,0.03,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,H46,NA,30,16 to 30,2,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,2,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,H47,NA,30,16 to 30,0.15,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,0.15,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,H55,NA,30,16 to 30,12,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,12,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,H7,NA,30,16 to 30,0.5,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,0.5,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,H9,NA,30,16 to 30,2,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,2,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,U102,NA,30,16 to 30,0.9,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,0.9,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,U104,NA,30,16 to 30,0.05,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,0.05,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,U105,NA,30,16 to 30,0.03,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,0.03,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,U33,NA,30,16 to 30,0.02,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,0.02,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,U36,NA,30,16 to 30,0.3,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,0.3,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,U37,NA,30,16 to 30,0.09,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,0.09,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,U45,NA,30,16 to 30,0.1,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,0.1,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,U48,NA,30,16 to 30,0.05,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,0.05,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,U49,NA,30,16 to 30,0.4,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,0.4,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,U52,NA,30,16 to 30,1,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,1,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,U58,NA,30,16 to 30,1.5,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,1.5,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,U59,NA,30,16 to 30,0.6,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,0.6,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,U60,NA,30,16 to 30,3,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,3,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,UA,NA,30,16 to 30,0.08,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,0.08,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,UB,NA,30,16 to 30,0.13,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,0.13,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Jonsson_2011,Jonsson_2011_data,UD,NA,30,16 to 30,1.5,Google Earth,NA,NA,NA,Birds,Lake Island,NA,NA,60.64399949,4.738874015,lake island,not_standardized,60.64399949,4.738874015,1.5,ha surveyed,transect,length of transect depended on island size,"walked width of island in a zig zag pattern, <50m between transects. Total transect length varied with island size.",June 2006 and June 2007,Two weeks
Karger_2014,Karger_2014_data,Bacan,NA,12,10 to 15,190000,Karger_2014,NA,NA,NA,Plants,True Island,2088,1,-0.7,127.5166667,volcanic,fixed,3.058333333,125.1708333,16,plots,plots along transects,plots of 20m x 20m,fixed sampling design of transects of four plots separated by a distance of 20 m,NA,NA
Karger_2014,Karger_2014_data,Buru,NA,12,10 to 15,847300,Karger_2014,NA,NA,NA,Plants,True Island,2692,1,-3.216666667,126.5666667,volcanic,fixed,3.058333333,125.1708333,16,plots,plots along transects,plots of 20m x 20m,fixed sampling design of transects of four plots separated by a distance of 20 m,NA,NA
Karger_2014,Karger_2014_data,Camiguin,NA,12,10 to 15,23800,Karger_2014,NA,NA,NA,Plants,True Island,1630,1,9.183333333,124.7,volcanic,fixed,3.058333333,125.1708333,16,plots,plots along transects,plots of 20m x 20m,fixed sampling design of transects of four plots separated by a distance of 20 m,NA,NA
Karger_2014,Karger_2014_data,Lombok,NA,12,10 to 15,472500,Karger_2014,NA,NA,NA,Plants,True Island,3683,1,-8.333333333,116.4,volcanic,fixed,3.058333333,125.1708333,16,plots,plots along transects,plots of 20m x 20m,fixed sampling design of transects of four plots separated by a distance of 20 m,NA,NA
Karger_2014,Karger_2014_data,Luzon,NA,12,10 to 15,10468800,Karger_2014,NA,NA,NA,Plants,True Island,2926,1,15.41666667,121.4,volcanic,fixed,3.058333333,125.1708333,16,plots,plots along transects,plots of 20m x 20m,fixed sampling design of transects of four plots separated by a distance of 20 m,NA,NA
Karger_2014,Karger_2014_data,Mindanao,NA,12,10 to 15,9753000,Karger_2014,NA,NA,NA,Plants,True Island,2954,1,8.133333333,124.9166667,volcanic,fixed,3.058333333,125.1708333,16,plots,plots along transects,plots of 20m x 20m,fixed sampling design of transects of four plots separated by a distance of 20 m,NA,NA
Karger_2014,Karger_2014_data,Panay,NA,12,10 to 15,1201100,Karger_2014,NA,NA,NA,Plants,True Island,2093,1,11.35,122.1333333,volcanic,fixed,3.058333333,125.1708333,16,plots,plots along transects,plots of 20m x 20m,fixed sampling design of transects of four plots separated by a distance of 20 m,NA,NA
Karger_2014,Karger_2014_data,Papua,New Guinea,12,10 to 15,7.80E+07,Karger_2014,NA,NA,NA,Plants,True Island,4884,16,-3.766666667,139.2333333,volcanic,fixed,3.058333333,125.1708333,16,plots,plots along transects,plots of 20m x 20m,fixed sampling design of transects of four plots separated by a distance of 20 m,NA,NA
Karger_2014,Karger_2014_data,Seram,NA,12,10 to 15,1710000,Karger_2014,NA,NA,NA,Plants,True Island,3029,1,-2.983333333,129.1833333,volcanic,fixed,3.058333333,125.1708333,16,plots,plots along transects,plots of 20m x 20m,fixed sampling design of transects of four plots separated by a distance of 20 m,NA,NA
