ISL_ID,study_ID,Study,island_code,island_name,island_area_ha,island_area_source,elevation_m_asl,elevation_source,elevation_category,DEM_elevation_max,DEM_elevation_min,DEM_latitude,DEM_longitude,Taxa,Type_of_island,dataset_coord_lat_long,island_coord,island_coord_richtext,island_lat,island_lon,coordinate checking,sampling_effort,sampling_effort_unit,,
99,Burbrink_2015,Burbrink_2015_data,Parramore_VA,Parramore VA,2197,"Dueser & Brown, 1980, Ecological Correlates of Insular Rodent Diversity, Ecology 61 (1)",9.1,"Dueser & Brown, 1980, Ecological Correlates of Insular Rodent Diversity, Ecology 61 (1)",maximum elevation,22,1,37.53824062,-75.62826366,reptiles,Barrier,,"37.5382406223789, -75.6282636607768","37.5382406223789, -75.6282636607768",37.53824062,-75.62826366,FALSE,NA,,,
100,Burbrink_2015,Burbrink_2015_data,Perdido_Key_FL,,1200,Google Earth,NA,,,45,1,30.30350368,-87.42731721,reptiles,Barrier,,"30.3035036777108, -87.4273172081103","30.3035036777108, -87.4273172081103",30.30350368,-87.42731721,FALSE,NA,,,
101,Burbrink_2015,Burbrink_2015_data,Petit_Bois_MS,,1443,Wikipedia,NA,,,6,1,30.19991745,-88.44638957,reptiles,Barrier,,"30.1999174513687, -88.4463895720227","30.1999174513687, -88.4463895720227",30.19991745,-88.44638957,FALSE,NA,,,
102,Burbrink_2015,Burbrink_2015_data,Prudence_Island_RI,,1400,Google Earth,NA,,,66,1,41.61432167,-71.31747204,reptiles,Barrier,,"41.6143216688205, -71.3174720402026","41.6143216688205, -71.3174720402026",41.61432167,-71.31747204,FALSE,NA,,,
103,Burbrink_2015,Burbrink_2015_data,Revel_VA,Revel VA,508,"Dueser & Brown, 1980, Ecological Correlates of Insular Rodent Diversity, Ecology 61 (1)",3,"Dueser & Brown, 1980, Ecological Correlates of Insular Rodent Diversity, Ecology 61 (1)",maximum elevation,89,1,37.50326195,-75.66891934,reptiles,Barrier,,"37.5032619458286, -75.6689193401566","37.5032619458286, -75.6689193401566",37.50326195,-75.66891934,FALSE,NA,,,
104,Burbrink_2015,Burbrink_2015_data,Roanoke_Island_NC,,4650,Wikipedia,NA,,,24,1,35.889,-75.661,reptiles,Barrier,,35.889°N 75.661°W,35.889°N 75.661°W,35.889,-75.661,TRUE,NA,,,
105,Burbrink_2015,Burbrink_2015_data,Sanibel_Island_FL,,4176,Wikipedia,1,Wikipedia,maximum elevation,51,1,26.43972222,-82.08055556,reptiles,Barrier,,"26°26'23""N 82°4'50""W",26°26′23″N 82°4′50″W,26.43972222,-82.08055556,FALSE,NA,,,
106,Burbrink_2015,Burbrink_2015_data,Santa_Rosa_FL,,3950,Google Earth,8,"Effect of Hurricane Ivan on Coastal Dunes of Santa Rosa Barrier Island, Florida: Characterized on the Basis of Pre- and Poststorm LIDAR Surveys
Vanda Claudino-Sales, Ping Wang, and Mark H. Horwitz
Journal of Coastal Research 2010 :, 470-484 ",,41,1,30.3825,-86.85638889,reptiles,Barrier,,"30°22'57""N 86°51'23""W",30°22′57″N 86°51′23″O,30.3825,-86.85638889,FALSE,NA,,,
107,Burbrink_2015,Burbrink_2015_data,Sapelo_Island_GA,,4660,Google Earth,NA,,,33,1,31.4775,-81.24166667,reptiles,Barrier,,"31°28'39""N 81°14'30""W",31°28′39″N 81°14′30″W,31.4775,-81.24166667,FALSE,NA,,,
108,Burbrink_2015,Burbrink_2015_data,Seahorse_Key_FL,,36.5,Google Earth,NA,,,15,1,29.09648056,-83.06533333,reptiles,Barrier,,"29°5'47.33""N 83°3'55.2""W",29°5′47.33″N 83°3′55.2″W,29.09648056,-83.06533333,FALSE,NA,,,
109,Burbrink_2015,Burbrink_2015_data,Shackelford_Banks_NC,,923,"Wood, G. W., Mengak, M. T., & Murphy, M. (1987). Ecological importance of feral ungulates at Shackleford Banks, North Carolina. American Midland Naturalist, 236-244.",10.7,"Susman, K. R., & HERON JR, S. D. (1979). Evolution of a barrier island, Shackleford Banks, Carteret County, North Carolina. Geological Society of America Bulletin, 90(2), 205-215.",maximum elevation,10,1,34.665,-76.58777778,reptiles,Barrier,,"34°39'54""N 76°35'16""W",34°39′54″N 76°35′16″W,34.665,-76.58777778,FALSE,NA,,,
110,Burbrink_2015,Burbrink_2015_data,Smith_VA,Smith VA,512,"Dueser & Brown, 1980, Ecological Correlates of Insular Rodent Diversity, Ecology 61 (1)",2.1,"Dueser & Brown, 1980, Ecological Correlates of Insular Rodent Diversity, Ecology 61 (1)",maximum elevation,39,1,37.14896996,-75.86684731,reptiles,Barrier,,"37.1489699639639, -75.8668473105474","37.1489699639639, -75.8668473105474",37.14896996,-75.86684731,FALSE,NA,,,
111,Burbrink_2015,Burbrink_2015_data,St.Catherines_GA,,9010,Wikipedia,NA,,,66,1,31.63055556,-81.16013889,reptiles,Barrier,,"31°37'50""N 81°9'36.5""W",31°37′50″N 81°9′36.5″W,31.63055556,-81.16013889,FALSE,NA,,,
112,Burbrink_2015,Burbrink_2015_data,St.Simmons_GA,,4120,Wikipedia,3,Wikipedia,,31,1,31.15972222,-81.38861111,reptiles,Barrier,,"31°9'35""N 81°23'19""W",31°9′35″N 81°23′19″W,31.15972222,-81.38861111,FALSE,NA,,,
113,Burbrink_2015,Burbrink_2015_data,Staten_Island_NY,,15200,Wikipedia,125,Wikipedia,,128,1,40.57194444,-74.14694444,reptiles,Barrier,,"40°34'19""N 74°8'49""W",40°34′19″N 74°8′49″W,40.57194444,-74.14694444,FALSE,NA,,,
114,Burbrink_2015,Burbrink_2015_data,StVincent_NWR_FL,,5100,Wikipedia,NA,,,22,1,29.64444444,-85.12972222,reptiles,Barrier,,"29°38'40""N 85°07'47""W",29°38′40″N 85°07′47″W,29.64444444,-85.12972222,FALSE,NA,,,
115,Burbrink_2015,Burbrink_2015_data,Tybee_GA,,600,Wikipedia,3,Wikipedia,,19,1,32.00666667,-80.84944444,reptiles,Barrier,,"32°0'24""N 80°50'58""W",32°0′24″N 80°50′58″W,32.00666667,-80.84944444,FALSE,NA,,,
116,Burbrink_2015,Burbrink_2015_data,Wallops_VA,,1600,Wikipedia,NA,,,89,1,37.85,-75.46666667,reptiles,Barrier,,37°51'N 75°28'W,37°51′N 75°28′W,37.85,-75.46666667,FALSE,NA,,,
117,Burbrink_2015,Burbrink_2015_data,Wassaw_GA,,4068,Wikipedia,NA,,,30,1,31.9003,-80.9822,reptiles,Barrier,,31.9003°N 80.9822°W,31.9003°N 80.9822°W,31.9003,-80.9822,TRUE,NA,,,
118,Burbrink_2015,Burbrink_2015_data,West_Ship_MS,,135,Google Earth,NA,,,22,1,30.238039,-88.88764,reptiles,Barrier,," 30.238039°, -88.887640°","30.238039°, -88.887640°",30.238039,-88.88764,TRUE,NA,,,
119,Burbrink_2015,Burbrink_2015_data,Wreck_VA,Wreck VA,370.00,"Dueser & Brown, 1980, Ecological Correlates of Insular Rodent Diversity, Ecology 61 (1)",2.7,"Dueser & Brown, 1980, Ecological Correlates of Insular Rodent Diversity, Ecology 61 (1)",maximum elevation,20,1,37.26483682,-75.79659487,reptiles,Barrier,,"37.2648368214179, -75.79659486532","37.2648368214179, -75.79659486532",37.26483682,-75.79659487,FALSE,NA,,,
120,Choi_2011,Choi_2011_data,B1,Dongsouido ,45.00,,77,,,338,1,34.613412,125.843147,Moths,real island,,"34.613412, 125.843147","34.613412, 125.843147",34.613412,125.843147,FALSE,3,trap night,,
121,Choi_2011,Choi_2011_data,B2,Seosouido ,27.00,,40,,,65,1,34.60699,125.86979,Moths,real island,,"34.606990, 125.869790","34.606990, 125.869790",34.60699,125.86979,FALSE,3,trap night,,
122,Choi_2011,Choi_2011_data,B3,Daeyado ,426.00,,306,,,290,1,34.634215,125.960874,Moths,real island,,"34.634215, 125.960874","34.634215, 125.960874",34.634215,125.960874,FALSE,3,trap night,,
123,Choi_2011,Choi_2011_data,B4,Sindo ,168.00,,179.3,,,164,1,34.590742,125.975606,Moths,real island,,"34.590742, 125.975606","34.590742, 125.975606",34.590742,125.975606,FALSE,3,trap night,,
124,Choi_2011,Choi_2011_data,G1,Sangbaekdo ,7.00,,180,,,159,1,34.059812,127.390208,Moths,real island,,"34.059812, 127.390208","34.059812, 127.390208",34.059812,127.390208,TRUE,3,trap night,,
125,Choi_2011,Choi_2011_data,G2,Daesambudo ,77.80,,160,,,105,1,34.056259,127.583639,Moths,real island,,"34.056259, 127.583639","34.056259, 127.583639",34.056259,127.583639,FALSE,3,trap night,,
126,Choi_2011,Choi_2011_data,H1,Damuldo,161.00,,99,,,104,1,34.738585,125.443101,Moths,real island,,"34.738585, 125.443101","34.738585, 125.443101",34.738585,125.443101,FALSE,3,trap night,,
127,Choi_2011,Choi_2011_data,H2,Daedundo ,334.00,,163,,,143,1,34.726469,125.457308,Moths,real island,,"34.726469, 125.457308","34.726469, 125.457308",34.726469,125.457308,FALSE,3,trap night,,
128,Choi_2011,Choi_2011_data,H3,Yeongsando ,220.00,,100,,,210,1,34.649062,125.466187,Moths,real island,,"34.649062, 125.466187","34.649062, 125.466187",34.649062,125.466187,TRUE,3,trap night,,
129,Choi_2011,Choi_2011_data,J1,Donggeochado ,340.00,,137.9,,,124,1,34.235047,125.939389,Moths,real island,,"34.235047, 125.939389","34.235047, 125.939389",34.235047,125.939389,TRUE,3,trap night,,
130,Choi_2011,Choi_2011_data,J2,Seogeochado ,283.00,,135.7,,,146,1,34.255754,125.911724,Moths,real island,,"34.255754, 125.911724","34.255754, 125.911724",34.255754,125.911724,TRUE,3,trap night,,
131,Choi_2011,Choi_2011_data,J3,Daemado,282.00,,74,,,162,1,34.264185,125.990307,Moths,real island,,"34.264185, 125.990307","34.264185, 125.990307",34.264185,125.990307,FALSE,3,trap night,,
132,Choi_2011,Choi_2011_data,J4,Dokgeodo ,169.00,,178.4,,,171,1,34.251564,126.178967,Moths,real island,,"34.251564, 126.178967","34.251564, 126.178967",34.251564,126.178967,TRUE,3,trap night,,
133,Choi_2011,Choi_2011_data,J5,Maenggoldo ,173.00,,132.2,,,124,1,34.213049,125.856189,Moths,real island,,"34.213049, 125.856189","34.213049, 125.856189",34.213049,125.856189,FALSE,3,trap night,,
134,Choi_2011,Choi_2011_data,S1,Daemodo ,583.00,,243,,,220,1,34.196621,126.75802,Moths,real island,,"34.196621, 126.758020","34.196621, 126.758020",34.196621,126.75802,TRUE,3,trap night,,
135,Choi_2011,Choi_2011_data,S2,Hoenggando ,354.00,,200.6,,,190,1,34.241166,126.610678,Moths,real island,,"34.241166, 126.610678","34.241166, 126.610678",34.241166,126.610678,FALSE,3,trap night,,
136,Choi_2011,Choi_2011_data,S3,Dangsado,146.00,,171.1,,,169,1,34.102662,126.593885,Moths,real island,,"34.102662, 126.593885","34.102662, 126.593885",34.102662,126.593885,TRUE,3,trap night,,
137,Dasilva_2019,Dasilva_2019_data,Forest_island_1,Rainforest_island_1,1.29,Dasilva_2019,1239,Dasilva_2019,sampling site,1731,411,-19.21719444,-43.50797222,Hymenoptera,forest island,,"-19°13’01.9”, -43°30’28.7”","-19°13’01.9”, -43°30’28.7”",-19.21719444,-43.50797222,FALSE,1,balanced,,
138,Dasilva_2019,Dasilva_2019_data,Forest_island_10,Rainforest_island_10,8.24,Dasilva_2019,1324,Dasilva_2019,sampling site,1731,411,-19.25955556,-43.54230556,Hymenoptera,forest island,,"-19°15’34.4”, -43°32’32.3”","-19°15’34.4”, -43°32’32.3”",-19.25955556,-43.54230556,FALSE,1,balanced,,
139,Dasilva_2019,Dasilva_2019_data,Forest_island_11,Rainforest_island_11,1.61,Dasilva_2019,1273,Dasilva_2019,sampling site,1731,411,-19.24794444,-43.55088889,Hymenoptera,forest island,,"-19°14’52.6”, -43°33’03.2”","-19°14’52.6”, -43°33’03.2”",-19.24794444,-43.55088889,FALSE,1,balanced,,
140,Dasilva_2019,Dasilva_2019_data,Forest_island_12,Rainforest_island_12,1.21,Dasilva_2019,1267,Dasilva_2019,sampling site,1731,411,-19.24622222,-43.55230556,Hymenoptera,forest island,,"-19°14’46.4”, -43°33’08.3”","-19°14’46.4”, -43°33’08.3”",-19.24622222,-43.55230556,FALSE,1,balanced,,
141,Dasilva_2019,Dasilva_2019_data,Forest_island_13,Rainforest_island_13,2.50,Dasilva_2019,1290,Dasilva_2019,sampling site,1731,411,-19.24394444,-43.55397222,Hymenoptera,forest island,,"-19°14’38.2”, -43°33’14.3”","-19°14’38.2”, -43°33’14.3”",-19.24394444,-43.55397222,FALSE,1,balanced,,
142,Dasilva_2019,Dasilva_2019_data,Forest_island_14,Rainforest_island_14,8.49,Dasilva_2019,1235,Dasilva_2019,sampling site,1731,411,-19.1995,-43.50877778,Hymenoptera,forest island,,"-19°11’58.2”, -43°30’31.6”","-19°11’58.2”, -43°30’31.6”",-19.1995,-43.50877778,FALSE,1,balanced,,
143,Dasilva_2019,Dasilva_2019_data,Forest_island_2,Rainforest_island_2,4.31,Dasilva_2019,1262,Dasilva_2019,sampling site,1731,411,-19.21533333,-43.51080556,Hymenoptera,forest island,,"-19°12’55.2”, -43°30’38.9”","-19°12’55.2”, -43°30’38.9”",-19.21533333,-43.51080556,FALSE,1,balanced,,
144,Dasilva_2019,Dasilva_2019_data,Forest_island_3,Rainforest_island_3,1.63,Dasilva_2019,1234,Dasilva_2019,sampling site,1731,411,-19.21322222,-43.51283333,Hymenoptera,forest island,,"-19°12’47.6”, -43°30’46.2”","-19°12’47.6”, -43°30’46.2”",-19.21322222,-43.51283333,FALSE,1,balanced,,
145,Dasilva_2019,Dasilva_2019_data,Forest_island_4,Rainforest_island_4,16.96,Dasilva_2019,1269,Dasilva_2019,sampling site,1731,411,-19.22627778,-43.51555556,Hymenoptera,forest island,,"-19°13’34.6”, -43°30’56.0”","-19°13’34.6”, -43°30’56.0”",-19.22627778,-43.51555556,FALSE,1,balanced,,
146,Dasilva_2019,Dasilva_2019_data,Forest_island_5,Rainforest_island_5,2.97,Dasilva_2019,1309,Dasilva_2019,sampling site,1731,411,-19.23916667,-43.54058333,Hymenoptera,forest island,,"-19°14’21.0”, -43°32’26.1”","-19°14’21.0”, -43°32’26.1”",-19.23916667,-43.54058333,FALSE,1,balanced,,
147,Dasilva_2019,Dasilva_2019_data,Forest_island_6,Rainforest_island_6,11.34,Dasilva_2019,1317,Dasilva_2019,sampling site,1731,411,-19.253,-43.55205556,Hymenoptera,forest island,,"-19°15’10.8”, -43°33’07.4”","-19°15’10.8”, -43°33’07.4”",-19.253,-43.55205556,FALSE,1,balanced,,
148,Dasilva_2019,Dasilva_2019_data,Forest_island_7,Rainforest_island_7,5.87,Dasilva_2019,1331,Dasilva_2019,sampling site,1731,411,-19.24469444,-43.55572222,Hymenoptera,forest island,,"-19°14’40.9”, -43°33’20.6”","-19°14’40.9”, -43°33’20.6”",-19.24469444,-43.55572222,FALSE,1,balanced,,
149,Dasilva_2019,Dasilva_2019_data,Forest_island_8,Rainforest_island_8,5.76,Dasilva_2019,1271,Dasilva_2019,sampling site,1731,411,-19.23869444,-43.51269444,Hymenoptera,forest island,,"-19°14’19.3”, -43°30’45.7”","-19°14’19.3”, -43°30’45.7”",-19.23869444,-43.51269444,FALSE,1,balanced,,
150,Dasilva_2019,Dasilva_2019_data,Forest_island_9,Rainforest_island_9,35.82,Dasilva_2019,1230,Dasilva_2019,sampling site,1731,411,-19.255,-43.51694444,Hymenoptera,forest island,,"-19°15’18.0”, -43°31’01.0”","-19°15’18.0”, -43°31’01.0”",-19.255,-43.51694444,FALSE,1,balanced,,
151,Davidar_2001,Davidar_2001_data,Alexandria,Alexandria,360.00,Davidar_2001,80,Davidar_personnal_communication,maximum elevation,100,1,11.577,92.61,Birds,real island,,"11.577N, 92.61E",,11.577,92.61,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
152,Davidar_2001,Davidar_2001_data,Aves,Aves,25.00,Davidar_2001,5,Davidar_personnal_communication,maximum elevation,36,1,12.917,92.935,Birds,real island,,"12.917N, 92.935E",,12.917,92.935,TRUE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
153,Davidar_2001,Davidar_2001_data,Baratang,Baratang,23000.00,Davidar_2001,150,Davidar_personnal_communication,maximum elevation,187,1,12.229,92.809,Birds,real island,,"12.229N, 92.809E",,12.229,92.809,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
154,Davidar_2001,Davidar_2001_data,Chester,Chester,9.00,Davidar_2001,5,Davidar_personnal_communication,maximum elevation,19,1,11.583,92.578,Birds,real island,,"11.583N, 92.578E",,11.583,92.578,TRUE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
155,Davidar_2001,Davidar_2001_data,Curlew,Curlew,7.00,Davidar_2001,5,Davidar_personnal_communication,maximum elevation,15,1,12.941,92.902,Birds,real island,,"12.941N, 92.902E",,12.941,92.902,TRUE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
156,Davidar_2001,Davidar_2001_data,Delgarno,Delgarno,50.00,Davidar_2001,5,Davidar_personnal_communication,maximum elevation,36,1,13.415,93.09,Birds,real island,,"13.415N, 93.09E",,13.415,93.09,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
157,Davidar_2001,Davidar_2001_data,East,East,300.00,Davidar_2001,60,Davidar_personnal_communication,maximum elevation,61,1,13.636,93.049,Birds,real island,,"13.636N, 93.049E",,13.636,93.049,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
158,Davidar_2001,Davidar_2001_data,Egg,Egg,6.00,Davidar_2001,5,Davidar_personnal_communication,maximum elevation,23,1,12.937,92.891,Birds,real island,,"12.937N, 92.891E",,12.937,92.891,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
159,Davidar_2001,Davidar_2001_data,Excelsior,Excelsior,40.00,Davidar_2001,20,Davidar_personnal_communication,maximum elevation,26,1,13.433,93.1,Birds,real island,,"13.433N, 93.1E",,13.433,93.1,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
160,Davidar_2001,Davidar_2001_data,Grub,Grub,3.00,Davidar_2001,5,Davidar_personnal_communication,maximum elevation,100,1,11.589,92.594,Birds,real island,,"11.589N, 92.594E",,11.589,92.594,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
161,Davidar_2001,Davidar_2001_data,Guitar,Guitar,100.00,Davidar_2001,80,Davidar_personnal_communication,maximum elevation,85,1,12.349,92.914,Birds,real island,,"12.349N, 92.914E",,12.349,92.914,TRUE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
162,Davidar_2001,Davidar_2001_data,Havelock,Havelock,11393.00,Surendran_Vasudevan_2015,160,Davidar_personnal_communication,maximum elevation,202,1,11.976,92.993,Birds,real island,,"11.976N, 92.993E",,11.976,92.993,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
163,Davidar_2001,Davidar_2001_data,Inglis,Inglis,140.00,Davidar_2001,5,Davidar_personnal_communication,maximum elevation,35,1,12.139,93.116,Birds,real island,,"12.139N, 93.116E",,12.139,93.116,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
164,Davidar_2001,Davidar_2001_data,John Lawrence,John Lawrence,3500.00,Davidar_2001,150,Davidar_personnal_communication,maximum elevation,139,1,12.088,93.025,Birds,real island,,"12.088N, 93.025E",,12.088,93.025,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
165,Davidar_2001,Davidar_2001_data,Jolly Buoy,Jolly Boys,12.00,Davidar_2001,150,Davidar_personnal_communication,maximum elevation,139,1,12.088,93.025,Birds,real island,,"12.088N, 93.025E",,12.088,93.025,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
166,Davidar_2001,Davidar_2001_data,Landfall,Landfall,1300,Davidar_2001,40,Davidar_personnal_communication,maximum elevation,52,1,13.66,93.003,Birds,real island,,"13.66N, 93.003E",,13.66,93.003,TRUE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
167,Davidar_2001,Davidar_2001_data,Little Andaman,Little Andaman,73439.00,Surendran_Vasudevan_2015,175,Davidar_personnal_communication,maximum elevation,177,1,10.695,92.489,Birds,real island,,"10.695N, 92.489E",,10.695,92.489,TRUE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
168,Davidar_2001,Davidar_2001_data,Long,Long Island,1790.00,Surendran_Vasudevan_2015,70,Davidar_personnal_communication,maximum elevation,140,1,12.398,92.936,Birds,real island,,"12.398N, 92.936E",,12.398,92.936,TRUE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
169,Davidar_2001,Davidar_2001_data,Malay,Malay,70.00,Davidar_2001,5,Davidar_personnal_communication,maximum elevation,61,1,11.531,92.603,Birds,real island,,"11.531N, 92.603E",,11.531,92.603,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
170,Davidar_2001,Davidar_2001_data,North Andamans,North Andaman,137599.00,Surendran_Vasudevan_2015,731,Davidar_personnal_communication,maximum elevation,733,1,13.24,92.915,Birds,real island,,"13.24N, 92.915E",,13.24,92.915,TRUE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
171,Davidar_2001,Davidar_2001_data,North Button,North Button,25.00,Davidar_2001,48,Davidar_personnal_communication,maximum elevation,47,1,12.317,93.069,Birds,real island,,"12.317N, 93.069E",,12.317,93.069,TRUE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
172,Davidar_2001,Davidar_2001_data,North Passage,North Passage,1300.00,Davidar_2001,109,Davidar_personnal_communication,maximum elevation,120,1,12.272,92.922,Birds,real island,,"12.272N, 92.922E",,12.272,92.922,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
173,Davidar_2001,Davidar_2001_data,North Reef,North Reef,340.00,Davidar_2001,27,Davidar_personnal_communication,maximum elevation,35,1,13.089,92.703,Birds,real island,,"13.089N, 92.703E",,13.089,92.703,TRUE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
174,Davidar_2001,Davidar_2001_data,Peel,Sir William Peel Island,2300.00,Davidar_2001,58,Davidar_personnal_communication,maximum elevation,442,1,11.421,92.642,Birds,real island,,"11.421N, 92.642E",,11.421,92.642,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
175,Davidar_2001,Davidar_2001_data,Pocock,Peacock,25.00,Davidar_2001,55,Davidar_personnal_communication,maximum elevation,52,1,13.563,93.054,Birds,real island,,"13.563N, 93.054E",,13.563,93.054,TRUE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
176,Davidar_2001,Davidar_2001_data,Point,Point,80.00,Davidar_2001,23,Davidar_personnal_communication,maximum elevation,27,1,13.413,92.815,Birds,real island,,"13.413N, 92.815E",,13.413,92.815,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
177,Davidar_2001,Davidar_2001_data,Redskin,Redskin,330.00,Davidar_2001,50,Davidar_personnal_communication,maximum elevation,65,1,11.552,92.592,Birds,real island,,"11.552N, 92.592E",,11.552,92.592,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
178,Davidar_2001,Davidar_2001_data,Reef,Reef,60.00,Davidar_2001,31,Davidar_personnal_communication,maximum elevation,38,1,13.507,92.871,Birds,real island,,"13.507N, 92.871E",,13.507,92.871,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
179,Davidar_2001,Davidar_2001_data,Ross (NA),Ross (NA),28.00,Davidar_2001,45,Davidar_personnal_communication,maximum elevation,38,1,13.507,92.871,Birds,real island,,"13.507N, 92.871E",,13.507,92.871,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
180,Davidar_2001,Davidar_2001_data,Rutland,Rutland,13717.00,Surendran_Vasudevan_2015,433,Davidar_personnal_communication,maximum elevation,442,1,11.421,92.642,Birds,real island,,"11.421N, 92.642E",,11.421,92.642,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
181,Davidar_2001,Davidar_2001_data,Sir Hugh Rose,Sir Hugh Rose,60.00,Davidar_2001,73,Davidar_personnal_communication,maximum elevation,442,1,11.421,92.642,Birds,real island,,"11.421N, 92.642E",,11.421,92.642,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
182,Davidar_2001,Davidar_2001_data,Snob,Snob,22.00,Davidar_2001,75,Davidar_personnal_communication,maximum elevation,37,2,11.566,92.574,Birds,real island,,"11.566N, 92.574E",,11.566,92.574,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
183,Davidar_2001,Davidar_2001_data,Sound,Sound,1270.00,Davidar_2001,NA,Davidar_personnal_communication,maximum elevation,119,1,12.962,92.971,Birds,real island,,"12.962N, 92.971E",,12.962,92.971,TRUE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
184,Davidar_2001,Davidar_2001_data,South Andamans,South Andaman,135082.00,Surendran_Vasudevan_2015,459,Davidar_personnal_communication,maximum elevation,469,1,11.816,92.635,Birds,real island,,"11.816N, 92.635E",,11.816,92.635,TRUE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
185,Davidar_2001,Davidar_2001_data,Tarmugli,Tarmugli,1150.00,Davidar_2001,78,Davidar_personnal_communication,maximum elevation,57,1,11.576,92.547,Birds,real island,,"11.576N, 92.547E",,11.576,92.547,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
186,Davidar_2001,Davidar_2001_data,Temple,Temple,6.00,Davidar_2001,NA,Davidar_personnal_communication,maximum elevation,18,1,13.384,93.062,Birds,real island,,"13.384N, 93.062E",,13.384,93.062,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
187,Davidar_2001,Davidar_2001_data,Turtle,Turtle,13.00,Davidar_2001,16,Davidar_personnal_communication,maximum elevation,20,1,13.365,93.076,Birds,several islands,,"13.365N, 93.076E",,13.365,93.076,FALSE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
188,Davidar_2001,Davidar_2001_data,Wilson,Wilson,1400.00,,216,Davidar_personnal_communication,maximum elevation,212,1,12.132,92.977,Birds,real island,,"12.132N, 92.977E",,12.132,92.977,TRUE,"one to several 1km long transects per island, each transect being surveyed as many times as necessary to reach a plateau on the accumulation curve",km transect walk,,
